source_genesymbol,target_genesymbol,interaction_type
H2-K1,Erbb2,->
Erbb2,Ptpre,->
Ptpre,Mapk3,-|
Erbb2,Cdk1,-|
Cdk1,Tp53,->
Cdk1,Foxo1,->
Foxo1,Cd70,->
Cd70,Tnfrsf17,->
Erbb2,Ctnnb1,->
Ctnnb1,Klf5,->
Klf5,Gzma,->
Gzma,Hmgb2,-|
Cdk1,Csnk2a1,->
Csnk2a1,Max,-|
Ctnnb1,Crebbp,->
Crebbp,Irf9,->
Erbb2,Esr1,->
Esr1,Nfkb1,->
Nfkb1,Irf4,->
Esr1,Tnfrsf11b,->
Tnfrsf11b,Armh4,->
Ctnnb1,Mycn,->
Mycn,Caln1,->
Cdk1,Neurod1,->
Neurod1,St18,->
Foxo1,Bcl2l13,->
Neurod1,Hand2,->
Mycn,Sdr42e1,->
Tp53,Cop1,->
Erbb2,Pak1,->
Pak1,Foxl2,->
Ctnnb1,Twist1,->
Cdk1,Runx1,->
Runx1,Cd160,->
Esr1,Bax,->
Ctnnb1,Fzd7,->
Esr1,Ctsd,->
Mycn,Mrps17,->
Cdk1,Ezh2,-|
Ezh2,Il13,-|
Cdk1,Kat5,->
Cdk1,Mapk8,->
Mapk8,Sirt6,->
Cdk1,Rb1,->
Rb1,E2f2,-|
Esr1,Vdr,->
Ctnnb1,Plk2,->
Plk2,Ywhae,->
Mycn,Chn1,->
Cdk1,Id2,->
Esr1,Hsp90aa1,->
Erbb2,Shc1,->
Shc1,Ptk2,->
Ptk2,Tln1,->
Cdk1,E2f1,->
E2f1,Irf3,-|
Cdk1,Rara,->
Mapk8,Bmf,->
Cdk1,Gata2,->
Cdk1,Creb1,->
Creb1,Smad6,->
Esr1,Tgfb3,->
Csnk2a1,Hsf1,->
Erbb2,Grb2,->
Grb2,Src,->
Src,Chuk,->
Chuk,Tax1bp1,->
Twist1,Ybx1,->
Tp53,Ndrg1,->
Erbb2,Plcg1,->
Plcg1,Cdkn1a,->
Ctnnb1,Tcf3,->
Tcf3,Ebf1,->
Ebf1,Ebf2,->
Esr1,Nr1h3,->
Esr1,Htra2,->
Tp53,Gata4,->
Cdk1,Cdkn1b,-|
Erbb2,Egfr,->
Egfr,Becn1,->
Csnk2a1,Stx1a,->
Cdk1,Myc,->
Myc,Gpc3,->
Tp53,E2f7,->
Ctnnb1,Foxo1,->
Foxo1,Klf2,->
Cdk1,Stk3,->
Stk3,Stk38l,->
Pak1,Plk1,->
Pak1,Pdpk1,->
Pdpk1,Prkcb,->
Prkcb,Grn,->
Plcg1,Prkaca,->
Prkaca,Ddb1,->
Esr1,Ccar2,->
Mycn,Mms19,->
Cdk1,Mcl1,-|
Cdk1,Casp8,-|
Casp8,Bcap31,->
Egfr,Ppp2ca,->
Ppp2ca,Map3k7,-|
Map3k7,Tnfaip8l2,->
Cdk1,Ncor2,->
Ctnnb1,Dap3,-|
Cdk1,Junb,->
Esr1,Il6,->
Ctnnb1,Dkk1,->
Mycn,Btc,->
E2f1,Traf2,-|
Traf2,Ripk3,->
Csnk2a1,Tnfaip1,->
Cdk1,Sp1,->
Sp1,Bmal1,->
Bmal1,Hlf,->
Ctnnb1,Fn1,->
Tp53,Bcl2l14,->
Egfr,Sox2,->
Cdk1,Nfatc2,->
Plcg1,Rhoa,->
Cdk1,Ikbkb,->
Cdk1,Ar,->
Ar,Psca,->
Mycn,Lrrn3,-|
Ctnnb1,Dapk2,-|
Prkaca,Hand1,-|
Esr1,Ephb4,->
Ephb4,Efnb3,->
Ctnnb1,Notch1,->
Notch1,Rbpj,->
Esr1,Notch4,->
Notch4,Unc5b,->
Ctnnb1,Casp4,-|
Ezh2,Satb1,-|
Pak1,Dynll1,-|
Ctnnb1,Cycs,-|
Esr1,Ncoa2,->
Cdk1,Cebpa,->
Cebpa,Usf1,->
Mycn,Dkk3,-|
Cdk1,Unc13b,->
Unc13b,Stx3,->
Ctnnb1,Lef1,->
Lef1,Sall4,->
Mycn,Srgap2,->
Pak1,Runx3,->
Erbb2,Bbc3,->
Pdpk1,Epas1,->
Erbb2,Pik3ca,->
Pik3ca,Src,->
Src,Flt4,->
Esr1,Nr0b2,-|
Lef1,Col11a1,->
Runx1,Tnfaip6,->
Esr1,Fas,->
Rb1,Yy1,-|
Creb1,Taf1,->
Erbb2,Ptgs2,->
Ptgs2,Nfe2l2,->
Nfe2l2,Il10,->
Ikbkb,Nfkbib,->
Esr1,Spi1,->
Spi1,Tlx3,->
Esr1,Stk11,-|
Stk11,Mark1,->
Erbb2,Ntrk1,->
Cdk1,Rps6ka3,->
Rps6ka3,Trip12,->
Esr1,Igf1r,->
Egfr,Stat3,->
Stat3,Krt17,->
Cdk1,Xiap,->
Xiap,Diablo,-|
Foxo1,Smad4,->
Esr1,Il1b,->
Ptgs2,Myod1,->
Myod1,H2-T23,->
Cdk1,Ncoa1,->
Ncoa1,Pawr,->
Ctnnb1,Nr1i2,->
Nr1i2,Hivep3,->
Csnk2a1,Hoxb7,-|
Ptpre,Mapk1,-|
Mapk1,Tp53bp2,->
Bbc3,Bcl2a1,-|
Src,H2-Q7,->
Ctnnb1,Smad7,->
Pak1,Akt1,->
Akt1,Acin1,->
Rb1,E2f3,-|
Cdk1,Tp53bp1,-|
Cdk1,Eif4g2,->
Esr1,Capn2,->
Tp53,Klf6,->
Mycn,Mcm5,->
Esr1,Tnf,->
Tnf,Icos,->
Esr1,Prkn,->
Prkn,Pink1,->
Mapk3,Etv6,-|
Ctnnb1,Hnf1a,->
Cdk1,Jun,->
Jun,Tnfrsf9,->
Cdk1,Map4k4,->
Map4k4,Smad1,->
Tnf,Ffar2,->
Tp53,Atf3,->
Src,Cdh5,->
Cdk1,Kdm5b,->
Mycn,Slc25a19,->
Cdk1,Tp73,-|
Tp73,Uvrag,-|
Mycn,Trex2,->
Esr1,Egr1,->
Egr1,Ltb,->
Sp1,Aebp1,->
Mycn,Ano2,->
Esr1,Pparg,-|
Pparg,Rorc,->
Cdk1,Mcm7,->
E2f1,Trp53inp1,->
Cdk1,Mapkapk2,->
Mapkapk2,Rtn4,->
Tp53,Mad1l1,-|
Cdk1,Grin2a,->
Pak1,Casp1,->
Casp1,Nlrp1b,-|
Esr1,Wt1,->
Kdm5b,Kdm4a,->
Ctnnb1,Rest,->
Cdk1,Kpna2,->
Kpna2,Irf1,->
Esr1,Rora,->
Rora,Nr1d2,->
Esr1,Txn,->
Egfr,Fgfr1,->
Erbb2,Pik3r1,->
Pik3r1,Pik3cg,->
Esr1,Myc,->
Myc,Ntn3,->
Ntn3,Neo1,->
Cdk1,Runx2,->
Runx2,Zfp64,->
Sp1,Nfatc1,->
Csnk2a1,Pax3,->
Crebbp,Stat6,->
Foxl2,Il11,->
Runx3,Lilrb3,->
Egfr,Calm1,->
Calm1,Trpm2,->
Plcg1,Syk,->
Syk,Pax5,-|
Cdk1,Kmt2a,->
Kmt2a,Hoxa9,->
Hoxa9,Pknox1,->
Esr1,Ifng,->
Esr1,Hoxa10,->
Nfe2l2,Gsk3b,->
Egfr,Gnai1,->
Tp53,Ei24,->
Tp53,Irf5,->
Pak1,H3c6,->
Pik3r1,Akt1,->
Akt1,Bcl10,->
Cdk1,Pik3c3,-|
Cdk1,Fadd,->
Mapk3,Grhl1,->
Cdk1,Ube2i,->
Ube2i,Hsf2,-|
Ube2i,Tfap2b,->
Gata2,Tnfrsf19,->
Tp53,Ccr6,->
Kat5,Sox5,->
Ctnnb1,Ascl1,->
Egfr,Calm2,->
Cdk1,Mapk6,->
Nfe2l2,Nrp1,->
Cdk1,Nes,->
Egfr,Stat5a,->
Stat5a,Pim2,->
Plcg1,Prkca,->
Esr1,Birc3,->
Cdk1,Cebpb,->
Cebpb,Il15,->
Creb1,Nfkbiz,->
Sp1,Usf2,->
Cdk1,Kat7,->
Nfe2l2,Mapk14,->
Egfr,Prkdc,->
Ikbkb,Tnfaip3,->
Myc,Dffa,->
