source_genesymbol,target_genesymbol,interaction_type
Rigi,Mavs,->
Mavs,Casp8,->
Casp8,Bid,->
Rigi,Ikbke,->
Ikbke,Foxo3,-|
Foxo3,Nr2c2,->
Rigi,Tbk1,->
Tbk1,Rela,->
Rela,Tbx21,->
Tbk1,Sqstm1,->
Sqstm1,Ntrk1,->
Mavs,Ikbkb,->
Ikbkb,Tp73,->
Tp73,Uvrag,-|
Rela,Fn1,->
Ikbkb,Nfe2l2,-|
Nfe2l2,Gnai2,->
Ikbke,Stat2,->
Stat2,Pml,->
Pml,Kat5,->
Tbk1,Insr,->
Insr,Prkca,->
Prkca,Vtn,->
Mavs,Irf3,->
Irf3,Il12a,->
Irf3,Cdk2,->
Cdk2,Kat7,->
Rela,Klf2,->
Rela,Egr1,-|
Rigi,Traf3,-|
Traf3,Map3k14,-|
Map3k14,Stat3,->
Stat3,Pim3,->
Ikbke,Traf2,->
Traf2,Ripk3,->
Ripk3,Mlkl,->
Nfe2l2,Nrp1,->
Ikbke,Yap1,->
Yap1,Sox6,-|
Tbk1,Chuk,->
Chuk,Traf4,-|
Tbk1,Akt1,->
Akt1,Gata2,-|
Rela,H2-K1,->
Akt1,Sp7,->
Rela,Mapk14,->
Mapk14,Max,->
Tbk1,Irf3,->
Casp8,Casp3,->
Casp3,Dsg3,->
Ikbke,Esr1,->
Esr1,Nfya,->
Ikbke,Nfatc1,->
Nfatc1,Mapk9,->
Mapk9,Nfatc3,->
Esr1,Myc,->
Myc,Tfrc,->
Chuk,Relb,-|
Tbk1,Irf5,->
Tbk1,Nfkb1,->
Nfkb1,Mdm2,->
Mdm2,Ppp2r2c,-|
Ikbkb,Cops5,->
Cops5,Ncoa1,->
Nfkb1,Rb1,->
Rb1,E2f2,-|
Tbk1,Lrrk2,->
Lrrk2,Tp53,->
Tp53,Cop1,->
Rela,Nr0b2,->
Irf3,Prkca,->
Irf3,Fgfr1,->
Fgfr1,Fgfr2,->
Fgfr2,Negr1,->
Rela,Egfr,->
Rela,Faslg,->
Akt1,Dlc1,->
Tbk1,Stat6,->
Stat6,Irf1,->
Irf1,Irf2,->
Insr,Fyn,->
Fyn,Mag,->
Akt1,Nrf1,->
Nrf1,Tfam,->
Ikbkb,Tp53,->
Tp53,Gzma,->
Tp53,Nr2c1,-|
Rela,Nr4a1,->
Rela,Gfi1,->
Ikbkb,Ncoa3,->
Mapk14,Jdp2,->
Foxo3,Bcl2l11,->
Bcl2l11,Vdac1,->
Nfkb1,Csnk2a1,->
Csnk2a1,Mycn,->
Mycn,Mms19,->
Esr1,Nos1,->
Nos1,Hdac2,->
Rela,Fosb,->
Ikbke,Nfkb2,->
Nfkb2,Dapk1,-|
Dapk1,Mapk6,-|
Tp53,Tigar,->
Insr,Syk,->
Syk,Pax5,-|
Insr,Wwox,->
Nfkb1,Il1rn,->
Il1rn,Il1rl2,->
Rela,Yy1,->
Yy1,Spns1,-|
Rela,Cd44,->
Rela,Hdac1,->
Esr1,Mndal,->
Esr1,Rara,->
Rara,Tnfrsf12a,->
Nfatc1,Mapk3,->
Mapk3,Il16,->
Ikbke,Rela,->
Chuk,Hdac3,->
Hdac3,Grhl1,-|
Yy1,Dnaja3,-|
Rela,Il19,->
Tp53,Nlrp1b,->
Esr1,Ccar2,->
Akt1,Tal1,-|
Mycn,Pkig,->
Dapk1,Tln1,-|
Bid,Bcl2l2,-|
Akt1,Nfatc2,->
Nfatc2,Tnfsf12,->
Csnk2a1,Pax3,->
Foxo3,Atm,->
Atm,Mcm2,->
Mycn,Apbb3,->
Irf5,Prdm1,->
Prdm1,Nlrp12,-|
Rela,Myc,->
Myc,Il11ra2,->
Rela,Cxcr4,->
Cxcr4,Gnai1,->
Chuk,Bcl3,->
Fyn,Tgfb1i1,->
Nfkb1,Il18,->
Il18,Il1rapl1,->
Insr,Ppp1r12a,->
Nfkb1,Tbp,->
Tbp,Igfbp7,->
Igfbp7,Mpig6b,->
Rela,Sp1,->
Sp1,Hsd17b7,->
Nfkb1,Tnfsf4,->
Irf3,Notch1,->
