Hif1a,->,Ccl12
Mapk14,->,Mef2a
Tp73,->,Bid
Src,->,Stat3
Fos,->,Ctsd
Gnai1,->,Hck
Esr1,->,E2f1
Ets1,->,Runx1
Prkdc,->,Nbn
Prkca,->,Bcr
Fyn,->,Prkaca
Stat6,->,Vegfa
Stat3,->,Notch1
Tgfb3,->,Itgb6
Ptprf,->,Ctnnb1
Foxo4,->,Creb1
Tp53,-|,Il4
Flt1,->,Cd300lf
Rxra,->,Pparg
Mitf,->,Cd40
Egr2,-|,Egr1
Mapk3,->,Fos
Sall4,->,Zeb1
Comp,->,Itgb1
Tp53,->,Calm3
Jun,->,Bcl2
Hrk,-|,Bcl2l1
Rela,->,Calm1
Foxo3,->,Pik3c3
Pias3,->,Stat3
Hdac9,-|,Il18
Nr0b1,->,Pik3c3
Tbp,->,Tp63
Insr,->,Ybx1
Bcl2,-|,Xrcc6
Nlk,->,Lef1
Arnt,-|,Fos
Stat3,-|,Ptpn6
Smad6,-|,Tnfrsf11b
Foxo3,->,Tnfaip8
Csnk2a1,->,Abcc1
Myc,-|,Nfyc
Gata2,->,Gata1
Cdk4,->,Tfeb
Nr3c1,->,Mndal
Creb1,->,Dbh
Cdkn1a,->,Cdk2
Ctnnb1,-|,Mxd1
Calm3,-|,Grk2
Sp3,->,Myc
Fyn,->,Cd300lf
Tp53,->,Rigi
Fgfr4,->,Nrxn2
Pdx1,->,Pik3c3
Pax3,->,Bcl2l1
Sp1,->,Ddit3
Cebpa,->,Gnai2
Rela,->,H2-D1
Rela,->,Bcl2l1
Ctnnb1,->,Stat3
Nkx3-1,->,Igf1r
Pias2,-|,Mycn
Hnf4a,->,Src
Cdk1,->,Kdm5b
Il15,->,Il2rg
Tfap2a,->,Ilk
Rps6kb1,-|,Pdcd4
Taf1,->,Rarb
Srf,->,Egr3
Nod1,->,Ripk2
Lmo2,->,Tgfb1
Insr,->,Ptk2
Csnk2a2,->,Tnf
Mapk3,->,Pcbp2
Nkx2-1,-|,Stk11
Cdk2,->,Lmnb1
Sp1,->,Jund
Socs3,->,Stat5a
Ascl1,->,Ezh2
Cbl,-|,Vav1
Cdk2,->,Ezh2
Stat3,->,Mapk8
Irf1,->,Casp7
